"Pipeline name","Run start","Run end","Duration","Triggered by","Status","Error","Run","Parameters","Annotations","Run ID"
"Dataflows","5/14/2026, 10:00:01 AM","5/14/2026, 10:05:35 AM","5m 35s","SelectedFilesTrigger","Succeeded","","Original","","[]","93f5f6a8-0e71-4a02-9f5a-e81f1459222e"
"Dataflows_with_trigger","5/14/2026, 10:00:01 AM","5/14/2026, 10:05:18 AM","5m 17s","SelectedFilesTrigger","Succeeded","","Original","","[]","2faffdd4-f9ad-4f99-b9c8-44efaeab385b"
"Dataflows_with_trigger","5/14/2026, 9:45:01 AM","5/14/2026, 9:49:12 AM","4m 12s","SelectedFilesTrigger","Succeeded","","Original","","[]","4b025a44-c474-4efa-8ce0-66b8dc90adf6"
"Dataflows","5/14/2026, 9:45:01 AM","5/14/2026, 9:49:40 AM","4m 40s","SelectedFilesTrigger","Succeeded","","Original","","[]","0d0a1425-cea9-4df3-b2ea-2a3d559bc3d4"
"Dataflows_with_trigger","5/14/2026, 9:30:00 AM","5/14/2026, 9:34:12 AM","4m 12s","SelectedFilesTrigger","Succeeded","","Original","","[]","0a82e2ea-e862-4232-9665-87363315d911"
"Dataflows","5/14/2026, 9:30:00 AM","5/14/2026, 9:34:42 AM","4m 43s","SelectedFilesTrigger","Succeeded","","Original","","[]","e18d4c5c-b8d3-4c28-8f1a-2fa223dc7f27"
"Dataflows","5/14/2026, 9:15:00 AM","5/14/2026, 9:19:42 AM","4m 43s","SelectedFilesTrigger","Succeeded","","Original","","[]","3f985bb7-421f-41f0-a83a-5be0a9a371b9"
"Dataflows_with_trigger","5/14/2026, 9:15:00 AM","5/14/2026, 9:20:35 AM","5m 35s","SelectedFilesTrigger","Succeeded","","Original","","[]","fb90bdad-bfad-472e-b9c8-d8fa484c32e8"
"Dataflows_with_trigger","5/14/2026, 9:00:01 AM","5/14/2026, 9:05:43 AM","5m 42s","SelectedFilesTrigger","Succeeded","","Original","","[]","5a6b526b-ec0a-441e-a256-15ca33399213"
"Dataflows","5/14/2026, 9:00:01 AM","5/14/2026, 9:05:10 AM","5m 9s","SelectedFilesTrigger","Succeeded","","Original","","[]","92695235-7fea-4828-9364-1106e3f1acaf"
"Dataflows","5/14/2026, 8:45:00 AM","5/14/2026, 8:49:24 AM","4m 24s","SelectedFilesTrigger","Succeeded","","Original","","[]","ee31b97f-94e2-4aad-a9df-0354d20994a4"
"Dataflows_with_trigger","5/14/2026, 8:45:00 AM","5/14/2026, 8:49:32 AM","4m 32s","SelectedFilesTrigger","Succeeded","","Original","","[]","fa280d10-7f81-4a4d-b0c9-42b5b9ac3c36"
